Year,France,Germany,Italy,Russia,Sweden
100,5694368,3250004,7082949,1361435,220000
200,6430050,3500005,6706842,1513333,240000
300,5697016,3500000,6330710,1665914,260000
400,4964012,3499996,5954598,1819872,280000
500,4720607,3250002,3984038,1825377,300000
600,4477246,3000002,2002851,1836411,320000
700,4723481,3125004,3002912,2009688,340000
800,4969752,3250005,4002981,2204991,360000
900,5705630,3375004,4503054,2362516,379999
1000,6441544,3500006,5203117,2520011,400000
1100,7667044,3999991,6503226,3779960,470000
1200,10361312,5999998,8503322,5669973,540000
1300,15806721,9000009,12503423,5867968,1099999
1400,10930922,6499992,8003594,5867968,433628
1500,14867558,8999982,9003790,7559900,507785
1600,18314616,12000005,13277017,9449999,766244
1700,21992322,12999967,13485409,10709944,1368169
1710,22592810,13978600,13900223,12131869,1422676
1720,23193336,14957612,14379574,13554129,1451918
1730,23793816,15936966,14875479,14976122,1619739
1740,24394330,16916782,15388497,16398268,1719699
1750,24994842,17897054,15919171,17820618,1772682
1760,25571370,18891894,16468175,19242556,1915530
1770,26147880,19886730,17036072,20664970,2036525
1780,26724322,20881578,17623606,22086730,2103908
1790,27300924,21876482,18231400,23509064,2188343
1800,29000000,18000000,19000000,31295641,2500000
1801,29108552,18294612,19057138,31295641,2489400
1802,29217510,18594046,19114447,31295641,2478845
1803,29326876,18898381,19171929,31295641,2468335
1804,29436651,19207698,19229584,31295641,2457869
1805,29546838,19522077,19287412,31295641,2447448
1806,29657436,19841601,19345415,31295641,2437070
1807,29768449,20166356,19403591,31295641,2426737
1808,29879877,20496425,19461943,31295641,2416448
1809,29991722,20831897,19520470,31295641,2406202
1810,30104407,21178441,19579349,31295641,2412437
1811,30217092,21525076,19638229,31309403,2418704
1812,30330200,21877384,19697286,31337054,2430522
1813,30443731,22235459,19756521,31378723,2447906
1814,30557687,22599394,19815934,31434539,2465415
1815,30672069,22969286,19875525,31504633,2483049
1816,30786880,23345232,19935296,31589136,2500810
1817,30902120,23727332,19995247,31688181,2518697
1818,31017792,24115685,20055377,31801904,2536713
1819,31150340,24488367,20129529,31930439,2556937
1820,31299931,24844857,20217832,32073923,2579409
1821,31466736,25184625,20320419,32232494,2604170
1822,31650924,25507128,20437423,32406291,2631258
1823,31852668,25811809,20568978,32595456,2660715
1824,32055698,26120130,20701381,32800130,2690502
1825,32260022,26432134,20834635,33020456,2720622
